title,price,rating
A Light in the Attic,£51.77,Three stars
Tipping the Velvet,£53.74,One stars
Soumission,£50.10,One stars
Sharp Objects,£47.82,Four stars
Sapiens: A Brief History of Humankind,£54.23,Five stars
The Requiem Red,£22.65,One stars
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four stars
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three stars
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four stars
The Black Maria,£52.15,One stars
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two stars
Shakespeare's Sonnets,£20.66,Four stars
Set Me Free,£17.46,Five stars
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five stars
Rip it Up and Start Again,£35.02,Five stars
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three stars
Olio,£23.88,One stars
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One stars
Libertarianism for Beginners,£51.33,Two stars
It's Only the Himalayas,£45.17,Two stars
In Her Wake,£12.84,One stars
How Music Works,£37.32,Two stars
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,Three stars
Chase Me (Paris Nights #2),£25.27,Five stars
Black Dust,£34.53,Five stars
Birdsong: A Story in Pictures,£54.64,Three stars
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,Three stars
Aladdin and His Wonderful Lamp,£53.13,Three stars
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,Five stars
Wall and Piece,£44.18,Four stars
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,Five stars
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,Three stars
The Elephant Tree,£23.82,Five stars
The Bear and the Piano,£36.89,One stars
Sophie's World,£15.94,Five stars
Penny Maybe,£33.29,Three stars
Maude (1883-1993):She Grew Up with the country,£18.02,Two stars
"In a Dark, Dark Wood",£19.63,One stars
Behind Closed Doors,£52.22,Four stars
You can't bury them all: Poems,£33.63,Two stars
Slow States of Collapse: Poems,£57.31,Three stars
Reasons to Stay Alive,£26.41,Two stars
Private Paris (Private #10),£47.61,Five stars
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,Five stars
Without Borders (Wanderlove #1),£45.07,Two stars
When We Collided,£31.77,One stars
"We Love You, Charlie Freeman",£50.27,Five stars
Untitled Collection: Sabbath Poems 2014,£14.27,Four stars
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,Four stars
Unicorn Tracks,£18.78,Three stars
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,One stars
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,One stars
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,Three stars
This One Summer,£19.49,Four stars
Thirst,£17.27,Five stars
The Torch Is Passed: A Harding Family Story,£19.09,One stars
The Secret of Dreadwillow Carse,£56.13,One stars
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,One stars
The Past Never Ends,£56.50,Four stars
The Natural History of Us (The Fine Art of Pretending #2),£45.22,Three stars
The Nameless City (The Nameless City #1),£38.16,Four stars
The Murder That Never Was (Forensic Instincts #5),£54.11,Three stars
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,Four stars
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,Four stars
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,Three stars
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,Five stars
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,One stars
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,One stars
The Death of Humanity: and the Case for Life,£58.11,Four stars
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,Three stars
The Art Forger,£40.76,Three stars
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,One stars
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,Five stars
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,Four stars
Soul Reader,£39.58,Two stars
Security,£39.25,Two stars
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,Three stars
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,Two stars
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,Two stars
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,Three stars
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,Five stars
Princess Between Worlds (Wide-Awake Princess #5),£13.34,Five stars
"Pop Gun War, Volume 1: Gift",£18.97,One stars
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,Two stars
Patience,£10.16,Three stars
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,Four stars
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,One stars
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,One stars
On a Midnight Clear,£14.07,Three stars
Obsidian (Lux #1),£14.86,Two stars
My Paris Kitchen: Recipes and Stories,£33.37,Two stars
Masks and Shadows,£56.40,Two stars
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,Four stars
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,Two stars
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,Three stars
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,Two stars
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,One stars
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,Two stars
Join,£35.67,Five stars
In the Country We Love: My Family Divided,£22.00,Four stars
